gene_id gene_name gene_type	269c35f0-a4f7-4e30-a69f-f1f3b7b5dace.tsv_TPM	d820ac02-a30e-437b-b20a-3e92705b7b81.tsv_TPM
ENSG00000000003.15 TSPAN6 protein_coding	34.0830	33.1976
ENSG00000000005.6 TNMD protein_coding	22.5726	0.0000
ENSG00000000419.13 DPM1 protein_coding	57.6085	116.4500
ENSG00000000457.14 SCYL3 protein_coding	6.5378	4.2842
ENSG00000000460.17 C1orf112 protein_coding	1.5583	9.0514
ENSG00000000938.13 FGR protein_coding	7.3309	3.4080
ENSG00000000971.16 CFH protein_coding	73.1292	9.3476
ENSG00000001036.14 FUCA2 protein_coding	36.3847	45.1569
ENSG00000001084.13 GCLC protein_coding	16.1268	5.3149
ENSG00000001167.14 NFYA protein_coding	15.8612	34.3415
ENSG00000001460.18 STPG1 protein_coding	2.9843	4.6724
ENSG00000001461.17 NIPAL3 protein_coding	9.9377	19.0161
ENSG00000001497.18 LAS1L protein_coding	7.0892	20.4231
ENSG00000001561.7 ENPP4 protein_coding	24.1875	7.2737
ENSG00000001617.12 SEMA3F protein_coding	18.3531	25.7024
ENSG00000001626.16 CFTR protein_coding	0.1132	0.1455
ENSG00000001629.10 ANKIB1 protein_coding	24.8934	29.9750
ENSG00000001630.17 CYP51A1 protein_coding	0.5640	1.4280
ENSG00000001631.16 KRIT1 protein_coding	2.3015	3.0481
ENSG00000002016.18 RAD52 protein_coding	4.2472	3.0139
ENSG00000002330.14 BAD protein_coding	9.1453	13.3210
ENSG00000002549.12 LAP3 protein_coding	73.6661	63.3414
ENSG00000002586.20 CD99 protein_coding	146.0890	137.7720
ENSG00000002586.20_PAR_Y CD99 protein_coding	0.0000	0.0000
ENSG00000002587.10 HS3ST1 protein_coding	1.5306	1.5435
ENSG00000002726.21 AOC1 protein_coding	0.2171	0.0264
ENSG00000002745.13 WNT16 protein_coding	0.0398	0.0459
ENSG00000002746.15 HECW1 protein_coding	0.0652	0.0895
ENSG00000002822.15 MAD1L1 protein_coding	0.0898	0.2277
ENSG00000002834.18 LASP1 protein_coding	72.6524	86.5696
ENSG00000002919.15 SNX11 protein_coding	20.9174	12.2173
ENSG00000002933.9 TMEM176A protein_coding	26.6434	3.0135
ENSG00000003056.8 M6PR protein_coding	36.3292	46.8752
ENSG00000003096.14 KLHL13 protein_coding	6.1096	2.7152
ENSG00000003137.8 CYP26B1 protein_coding	19.4042	3.2036
ENSG00000003147.19 ICA1 protein_coding	9.4460	19.4452
ENSG00000003249.15 DBNDD1 protein_coding	1.7649	46.6972
ENSG00000003393.15 ALS2 protein_coding	6.7735	8.6569
ENSG00000003400.15 CASP10 protein_coding	7.8308	7.3780
ENSG00000003402.20 CFLAR protein_coding	22.0609	10.4123
ENSG00000003436.16 TFPI protein_coding	19.5476	5.3712
ENSG00000003509.16 NDUFAF7 protein_coding	7.9285	14.0899
ENSG00000003756.17 RBM5 protein_coding	18.1691	10.2180
ENSG00000003987.14 MTMR7 protein_coding	0.3685	0.4321
ENSG00000003989.18 SLC7A2 protein_coding	18.2929	0.4545
ENSG00000004059.11 ARF5 protein_coding	61.9519	194.1954
ENSG00000004139.14 SARM1 protein_coding	0.8182	0.4808
ENSG00000004142.12 POLDIP2 protein_coding	92.2427	118.0296
ENSG00000004399.13 PLXND1 protein_coding	69.6326	38.0180
ENSG00000004455.17 AK2 protein_coding	29.4500	48.6512
ENSG00000004468.13 CD38 protein_coding	0.9276	0.1091
ENSG00000004478.8 FKBP4 protein_coding	28.2762	122.8104
ENSG00000004487.17 KDM1A protein_coding	26.3353	100.1851
ENSG00000004534.15 RBM6 protein_coding	24.1925	16.6249
ENSG00000004660.15 CAMKK1 protein_coding	3.4229	4.1484
ENSG00000004700.16 RECQL protein_coding	23.9074	17.0719
ENSG00000004776.13 HSPB6 protein_coding	147.6521	3.9361
ENSG00000004777.18 ARHGAP33 protein_coding	1.4396	8.5562
ENSG00000004779.10 NDUFAB1 protein_coding	69.5716	85.9631
ENSG00000004799.8 PDK4 protein_coding	344.9342	26.1336
ENSG00000004809.14 SLC22A16 protein_coding	0.0554	0.1149
ENSG00000004838.14 ZMYND10 protein_coding	0.3295	0.3972
ENSG00000004846.16 ABCB5 protein_coding	3.4729	0.0216
ENSG00000004848.8 ARX protein_coding	0.0139	0.0000
ENSG00000004864.14 SLC25A13 protein_coding	10.6132	65.8861
ENSG00000004866.22 ST7 protein_coding	9.8592	9.8858
ENSG00000004897.12 CDC27 protein_coding	28.4952	24.1580
ENSG00000004939.15 SLC4A1 protein_coding	0.0338	0.0097
ENSG00000004948.16 CALCR protein_coding	0.6047	0.0236
ENSG00000004961.15 HCCS protein_coding	22.1240	34.5839
ENSG00000004975.12 DVL2 protein_coding	9.4735	23.4895
ENSG00000005001.10 PRSS22 protein_coding	1.0527	55.5672
ENSG00000005007.13 UPF1 protein_coding	33.2607	36.1717
ENSG00000005020.13 SKAP2 protein_coding	38.2328	16.2688
ENSG00000005022.6 SLC25A5 protein_coding	222.4673	680.7266
ENSG00000005073.6 HOXA11 protein_coding	0.7295	0.7852
ENSG00000005075.15 POLR2J protein_coding	31.7413	89.2225
ENSG00000005100.13 DHX33 protein_coding	8.1770	14.4023
ENSG00000005102.14 MEOX1 protein_coding	40.0490	0.1493
ENSG00000005108.16 THSD7A protein_coding	2.9557	0.5483
ENSG00000005156.12 LIG3 protein_coding	2.7368	14.8089
ENSG00000005175.10 RPAP3 protein_coding	9.4545	17.5147
ENSG00000005187.12 ACSM3 protein_coding	0.8412	0.6577
ENSG00000005194.15 CIAPIN1 protein_coding	20.1445	36.4444
ENSG00000005206.17 SPPL2B protein_coding	6.3688	9.8123
ENSG00000005238.20 FAM214B protein_coding	10.3982	19.6372
ENSG00000005243.10 COPZ2 protein_coding	72.9036	35.6701
ENSG00000005249.13 PRKAR2B protein_coding	540.2448	9.8339
ENSG00000005302.19 MSL3 protein_coding	6.7735	15.9175
ENSG00000005339.15 CREBBP protein_coding	19.8581	15.5304
ENSG00000005381.8 MPO protein_coding	0.1349	0.0566
ENSG00000005421.9 PON1 protein_coding	0.1303	0.5446
ENSG00000005436.14 GCFC2 protein_coding	11.6451	11.5466
ENSG00000005448.17 WDR54 protein_coding	3.8687	6.9105
ENSG00000005469.12 CROT protein_coding	8.0301	6.0833
ENSG00000005471.19 ABCB4 protein_coding	0.9686	0.4197
ENSG00000005483.21 KMT2E protein_coding	23.6286	23.1548
ENSG00000005486.17 RHBDD2 protein_coding	50.1850	110.5213
ENSG00000005513.10 SOX8 protein_coding	0.5130	1.5739
ENSG00000005700.15 IBTK protein_coding	22.1581	10.1061
ENSG00000005801.18 ZNF195 protein_coding	3.6652	5.3768
ENSG00000005810.18 MYCBP2 protein_coding	43.4315	7.7806
ENSG00000005812.11 FBXL3 protein_coding	26.3553	10.0411
ENSG00000005844.19 ITGAL protein_coding	1.9696	0.7335
ENSG00000005882.12 PDK2 protein_coding	33.9605	4.1040
ENSG00000005884.18 ITGA3 protein_coding	14.1744	13.6981
ENSG00000005889.16 ZFX protein_coding	17.0740	15.2496
ENSG00000005893.16 LAMP2 protein_coding	57.6293	214.3049
ENSG00000005961.19 ITGA2B protein_coding	0.3647	0.5520
ENSG00000005981.13 ASB4 protein_coding	0.2536	1.7441
ENSG00000006007.12 GDE1 protein_coding	46.5020	29.1757
ENSG00000006016.11 CRLF1 protein_coding	3.3396	32.4564
ENSG00000006025.12 OSBPL7 protein_coding	2.0673	1.6095
ENSG00000006042.12 TMEM98 protein_coding	18.2353	16.5164
ENSG00000006047.13 YBX2 protein_coding	6.7085	8.5870
ENSG00000006059.4 KRT33A protein_coding	0.0000	0.0766
ENSG00000006062.17 MAP3K14 protein_coding	4.4429	15.9422
ENSG00000006071.15 ABCC8 protein_coding	0.2544	0.0000
ENSG00000006116.4 CACNG3 protein_coding	0.0000	0.0000
ENSG00000006118.15 TMEM132A protein_coding	1.6299	54.5597
ENSG00000006125.18 AP2B1 protein_coding	89.8614	100.4151
ENSG00000006128.12 TAC1 protein_coding	0.9604	0.0583
ENSG00000006194.10 ZNF263 protein_coding	8.2916	12.5615
ENSG00000006210.7 CX3CL1 protein_coding	28.2992	44.9226
ENSG00000006282.21 SPATA20 protein_coding	25.2951	12.3032
ENSG00000006283.18 CACNA1G protein_coding	0.4300	0.0595
ENSG00000006327.14 TNFRSF12A protein_coding	6.5348	546.0507
ENSG00000006377.11 DLX6 protein_coding	0.1256	4.4319
ENSG00000006432.15 MAP3K9 protein_coding	0.7860	7.2067
ENSG00000006451.8 RALA protein_coding	63.8942	120.8139
ENSG00000006453.14 BAIAP2L1 protein_coding	3.3298	49.7919
ENSG00000006459.11 KDM7A protein_coding	11.5578	28.6614
ENSG00000006468.14 ETV1 protein_coding	2.5876	2.6621
ENSG00000006530.18 AGK protein_coding	5.3839	10.2804
ENSG00000006534.16 ALDH3B1 protein_coding	4.2316	3.5392
ENSG00000006555.11 TTC22 protein_coding	0.7505	7.0136
ENSG00000006576.16 PHTF2 protein_coding	7.2516	13.1577
ENSG00000006606.9 CCL26 protein_coding	1.1079	2.1292
ENSG00000006607.14 FARP2 protein_coding	4.3868	9.7284
